"<b><a href=""https://en.wikipedia.org/wiki/aerodrome"" title=""aerodrome"">aerodrome</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An airfield used for managed aircraft operation. In Britain, an alternative term for airport."
"<b><a href=""https://en.wikipedia.org/wiki/turbofan"" title=""turbofan"">turbofan</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A type of airbreathing jet engine that is widely used in aircraft propulsion."
"<b><a href=""https://en.wikipedia.org/wiki/ultralight"" title=""ultralight"">ultralight</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A small, powered aircraft which is extremely light(254 lbs or Less empty)and seats only one occupant. Ultralights are popular among hobbyists for being cost-effective and having lenient regulation.  Ultralight type aircraft are generally heavier and can seat more than one occupant."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=visual_flight_rules&amp;action=edit&amp;redlink=1"" class=""new"" title=""visual flight rules (page does not exist)"">visual flight rules</a> (VFR)</b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A regulatory term describing flights that are conducted only in conditions where the pilot can see the ground, or in some instances is flying in the free space above a cloud. Compare to <a href=""#I"">instrument flight rules</a>."
"<b><a href=""https://en.wikipedia.org/wiki/V_speeds"" title=""V speeds"">V speeds</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Speeds that define certain performance and limiting characteristics of an aircraft."
"<b><a href=""https://en.wikipedia.org/w/index.php?title=VSI&amp;action=edit&amp;redlink=1"" class=""new"" title=""VSI (page does not exist)"">VSI</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Vertical Speed Indicator, shows the rate of climb or descent."
"<b><a href=""https://en.wikipedia.org/wiki/wet_lease"" title=""wet lease"">wet lease</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A wet lease is any leasing arrangement whereby a company agrees to provide an aircraft and at least one pilot to another company. It does not include a code sharing arrangement."
"<b><a href=""https://en.wikipedia.org/wiki/wind_shear"" title=""wind shear"">wind shear</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"a quick change in wind speed or direction."
"<b><a href=""https://en.wikipedia.org/wiki/wing"" title=""wing"">wing</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A lifting surface of an airplane/aeroplane or sailplane."
"<b><a href=""https://en.wikipedia.org/wiki/yaw"" title=""yaw"">yaw</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Rotation in a horizontal plane about the normally vertical axis - turning to left or right. Generally the control surface to yaw is the <b>rudder</b>."
"<b><a href=""https://en.wikipedia.org/wiki/zeppelin"" title=""zeppelin"">zeppelin</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A large rigid airship consisting of a long, cylindrical, covered framework containing compartments or cells filled with gas, and of various structures for holding the engines, passengers, etc."
